case_id,char_length_max,n_cells,solver_cpu_s,wall_clock_s,n_iterations,p_solver_iters,u_solver_iters,pressure_iter_pct,fno_nx,fno_ny,fno_n_voxels,fno_inference_s,converged,status
case_00,0.4,728,0.14,6.782,116,358,1104,24.49,26,3,234,0.081957,True,ok
case_01,0.364939,864,0.29,10.955,118,357,1079,24.86,28,4,448,0.159284,True,ok
case_02,0.332951,1185,0.25,10.297,107,350,981,26.3,31,4,496,0.126401,True,ok
case_03,0.303766,1589,0.28,9.305,96,326,880,27.03,34,4,544,0.133876,True,ok
case_04,0.27714,2219,0.4,9.276,102,360,958,27.31,37,5,925,0.381813,True,ok
case_05,0.252848,2804,0.52,9.363,107,365,983,27.08,41,5,1025,0.357281,True,ok
case_06,0.230685,3423,1.1,9.792,196,597,1837,24.53,44,5,1100,0.403219,True,ok
case_07,0.210465,4386,1.12,10.042,156,465,1602,22.5,49,6,1764,0.372613,True,ok
case_08,0.192017,5821,1.27,10.425,125,387,1276,23.27,53,6,1908,0.359367,True,ok
case_09,0.175186,7636,1.73,10.157,150,405,1570,20.51,58,7,2842,0.36355,True,ok
case_10,0.15983,9882,2.69,11.129,159,427,1690,20.17,64,7,3136,0.371229,True,ok
case_11,0.145821,12688,3.53,12.461,173,456,1886,19.47,70,8,4480,0.438612,True,ok
case_12,0.133039,16440,4.88,13.823,176,460,1899,19.5,76,9,6156,0.177515,True,ok
case_13,0.121378,21340,7.22,15.63,212,537,2398,18.3,83,9,6723,0.173166,True,ok
case_14,0.110738,28249,10.6,19.136,228,558,2638,17.46,91,10,9100,0.230023,True,ok
case_15,0.101032,36890,16.89,25.461,253,623,2945,17.46,100,11,12100,0.217623,True,ok
case_16,0.092176,47914,26.26,35.249,268,673,3147,17.62,109,12,15696,0.20592,True,ok
case_17,0.084097,62997,40.17,49.557,322,793,3803,17.25,120,13,20280,0.272613,True,ok
case_18,0.076725,82562,58.36,67.17,338,862,3996,17.74,131,14,25676,0.239878,True,ok
case_19,0.07,106486,86.47,95.967,361,976,4272,18.6,144,15,32400,0.24051,True,ok
